,submission_id,experiment_id,languages,picture,prolificid,verb,startDate,trial_name,trial_number,rating,ID,POS,DOI,ES
0,31,2,English,5_25_45,60b13774a38d9b46b8d6df3d,caused,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,1,no,5_25_45,0.3460846838095933,0.1947292522971814,5.0
1,31,2,English,3_75_56,60b13774a38d9b46b8d6df3d,forced,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,2,yes,3_75_56,0.25,1.0,4.0
2,31,2,English,1_75_56_r,60b13774a38d9b46b8d6df3d,made,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,3,yes,1_75_56_r,0.4096822830563665,1.0,4.0
3,31,2,English,5_25_45_r,60b13774a38d9b46b8d6df3d,made,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,4,no,5_25_45_r,0.3460846838095933,0.1947292522971814,5.0
4,31,2,English,3_5_56,60b13774a38d9b46b8d6df3d,made,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,5,no,3_5_56,0.25,1.0,4.0
5,31,2,English,1_0_78,60b13774a38d9b46b8d6df3d,made,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,6,no,1_0_78,0.3543436937742045,0.0067379469990854,2.0
6,31,2,English,,60b13774a38d9b46b8d6df3d,,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,7,no,,,,
7,31,2,English,2_5_56_r,60b13774a38d9b46b8d6df3d,made,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,8,yes,2_5_56_r,0.25,1.0,4.0
8,31,2,English,1_5_78,60b13774a38d9b46b8d6df3d,caused,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,9,yes,1_5_78,0.3543436937742045,0.0067379469990854,2.0
9,31,2,English,3_25_67,60b13774a38d9b46b8d6df3d,made,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,10,yes,3_25_67,0.5017131981555416,0.25,3.0
10,31,2,English,4_5_45_r,60b13774a38d9b46b8d6df3d,caused,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,11,no,4_5_45_r,0.1634788290476016,0.3333333333333333,5.0
11,31,2,English,,60b13774a38d9b46b8d6df3d,,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,12,yes,,,,
12,31,2,English,4_75_56,60b13774a38d9b46b8d6df3d,caused,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,13,no,4_75_56,0.4096822830563665,0.0,4.0
13,31,2,English,4_0_23_r,60b13774a38d9b46b8d6df3d,forced,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,14,no,4_0_23_r,0.1226605713054616,0.25,7.0
14,31,2,English,2_0_78,60b13774a38d9b46b8d6df3d,forced,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,15,yes,2_0_78,0.6456563062257954,0.0067379469990854,2.0
15,31,2,English,4_5_45,60b13774a38d9b46b8d6df3d,made,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,16,no,4_5_45,0.1634788290476016,0.3333333333333333,5.0
16,31,2,English,2_25_78,60b13774a38d9b46b8d6df3d,made,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,17,yes,2_25_78,0.6456563062257954,0.0,2.0
17,31,2,English,3_25_67_r,60b13774a38d9b46b8d6df3d,made,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,18,yes,3_25_67_r,0.5017131981555416,0.25,3.0
18,31,2,English,1_75_89,60b13774a38d9b46b8d6df3d,caused,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,19,yes,1_75_89,1.0,0.5,1.0
19,31,2,English,4_25_56,60b13774a38d9b46b8d6df3d,forced,Sat Aug 19 2023 17:12:46 GMT+0100 (British Summer Time),slider_rating,20,no,4_25_56,0.4096822830563665,0.0,4.0
20,33,2,English,4_0_23,5eaae5edf2e46a05c4973b4a,forced,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,1,no,4_0_23,0.1226605713054616,0.25,7.0
21,33,2,English,4_5_45_r,5eaae5edf2e46a05c4973b4a,caused,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,2,no,4_5_45_r,0.1634788290476016,0.3333333333333333,5.0
22,33,2,English,1_0_78_r,5eaae5edf2e46a05c4973b4a,made,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,3,no,1_0_78_r,0.3543436937742045,0.0067379469990854,2.0
23,33,2,English,,5eaae5edf2e46a05c4973b4a,,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,4,no,,,,
24,33,2,English,1_5_56_r,5eaae5edf2e46a05c4973b4a,forced,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,5,yes,1_5_56_r,0.25,0.4403985389889412,4.0
25,33,2,English,2_5_78_r,5eaae5edf2e46a05c4973b4a,caused,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,6,yes,2_5_78_r,0.6456563062257954,0.0,2.0
26,33,2,English,2_25_78,5eaae5edf2e46a05c4973b4a,caused,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,7,yes,2_25_78,0.6456563062257954,0.0,2.0
27,33,2,English,2_25_45_r,5eaae5edf2e46a05c4973b4a,made,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,8,no,2_25_45_r,0.1634788290476016,0.5,5.0
28,33,2,English,1_1_78_r,5eaae5edf2e46a05c4973b4a,caused,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,9,no,1_1_78_r,0.5,1.0,2.0
29,33,2,English,3_0_67_r,5eaae5edf2e46a05c4973b4a,caused,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,10,no,3_0_67_r,0.5017131981555416,0.3333333333333333,3.0
30,33,2,English,,5eaae5edf2e46a05c4973b4a,,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,11,yes,,,,
31,33,2,English,2_5_45_r,5eaae5edf2e46a05c4973b4a,made,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,12,no,2_5_45_r,0.3460846838095933,0.001347589399817,5.0
32,33,2,English,1_5_56,5eaae5edf2e46a05c4973b4a,made,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,13,yes,1_5_56,0.25,0.4403985389889412,4.0
33,33,2,English,1_0_78,5eaae5edf2e46a05c4973b4a,forced,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,14,no,1_0_78,0.3543436937742045,0.0067379469990854,2.0
34,33,2,English,5_25_34_r,5eaae5edf2e46a05c4973b4a,made,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,15,no,5_25_34_r,0.1400898436976428,0.5,6.0
35,33,2,English,2_25_45,5eaae5edf2e46a05c4973b4a,made,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,16,no,2_25_45,0.1634788290476016,0.5,5.0
36,33,2,English,5_25_45,5eaae5edf2e46a05c4973b4a,caused,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,17,no,5_25_45,0.3460846838095933,0.1947292522971814,5.0
37,33,2,English,1_75_56,5eaae5edf2e46a05c4973b4a,forced,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,18,yes,1_75_56,0.4096822830563665,1.0,4.0
38,33,2,English,3_25_67,5eaae5edf2e46a05c4973b4a,made,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,19,no,3_25_67,0.5017131981555416,0.25,3.0
39,33,2,English,2_0_78_r,5eaae5edf2e46a05c4973b4a,caused,Sat Aug 19 2023 17:09:08 GMT+0100 (British Summer Time),slider_rating,20,yes,2_0_78_r,0.6456563062257954,0.0067379469990854,2.0
40,34,2,english,2_5_56_r,6272a66f47d069b6f07d883e,made,Sat Aug 19 2023 17:15:56 GMT+0100 (British Summer Time),slider_rating,1,no,2_5_56_r,0.25,1.0,4.0
41,34,2,english,1_1_78_r,6272a66f47d069b6f07d883e,caused,Sat Aug 19 2023 17:15:56 GMT+0100 (British Summer Time),slider_rating,2,yes,1_1_78_r,0.5,1.0,2.0
42,34,2,english,3_25_67_r,6272a66f47d069b6f07d883e,caused,Sat Aug 19 2023 17:15:56 GMT+0100 (British Summer Time),slider_rating,3,yes,3_25_67_r,0.5017131981555416,0.25,3.0
43,34,2,english,2_75_78,6272a66f47d069b6f07d883e,caused,Sat Aug 19 2023 17:15:56 GMT+0100 (British Summer Time),slider_rating,4,yes,2_75_78,0.5,0.0,2.0
44,34,2,english,3_0_67_r,6272a66f47d069b6f07d883e,caused,Sat Aug 19 2023 17:15:56 GMT+0100 (British Summer Time),slider_rating,5,yes,3_0_67_r,0.5017131981555416,0.3333333333333333,3.0
45,34,2,english,2_5_34_r,6272a66f47d069b6f07d883e,caused,Sat Aug 19 2023 17:15:56 GMT+0100 (British Summer Time),slider_rating,6,yes,2_5_34_r,0.2995507815117859,0.1428571428571428,6.0
46,34,2,english,,6272a66f47d069b6f07d883e,,Sat Aug 19 2023 17:15:56 GMT+0100 (British Summer Time),slider_rating,7,no,,,,
47,34,2,english,2_0_78,6272a66f47d069b6f07d883e,caused,Sat Aug 19 2023 17:15:56 GMT+0100 (British Summer Time),slider_rating,8,yes,2_0_78,0.6456563062257954,0.0067379469990854,2.0
48,34,2,english,2_5_34,6272a66f47d069b6f07d883e,made,Sat Aug 19 2023 17:15:56 GMT+0100 (British Summer Time),slider_rating,9,yes,2_5_34,0.2995507815117859,0.1428571428571428,6.0
49,34,2,english,4_0_23_r,6272a66f47d069b6f07d883e,made,Sat Aug 19 2023 17:15:56 GMT+0100 (British Summer Time),slider_rating,10,yes,4_0_23_r,0.1226605713054616,0.25,7.0
